x32,x33,x34,x35,x36,x1
33.558571428571426,33.55866666666667,33.558749999999996,33.55705882352942,33.54833333333334,33.537894736842105
33.54928571428571,33.55333333333333,33.55375,33.554117647058824,33.55277777777778,33.54473684210527
33.54142857142857,33.54533333333333,33.549375,33.550000000000004,33.550555555555555,33.54947368421053
33.542857142857144,33.54533333333333,33.54875,33.55235294117647,33.55277777777778,33.55315789473684
33.53928571428572,33.54600000000001,33.548125,33.55117647058824,33.55444444444444,33.554736842105264
33.535000000000004,33.542,33.548125000000006,33.550000000000004,33.55277777777778,33.555789473684214
33.54357142857143,33.54533333333334,33.55125,33.5564705882353,33.55777777777777,33.56
33.550000000000004,33.556000000000004,33.556875000000005,33.561764705882354,33.56611111111111,33.566842105263156
33.559285714285714,33.55800000000001,33.563125,33.563529411764705,33.56777777777778,33.57157894736842
33.566428571428574,33.56533333333333,33.563750000000006,33.56823529411764,33.568333333333335,33.572105263157894
33.56928571428572,33.56666666666667,33.565625,33.56411764705883,33.568333333333335,33.568421052631585
33.572857142857146,33.571333333333335,33.56875,33.567647058823525,33.56611111111112,33.57
33.58214285714286,33.57466666666667,33.573125000000005,33.57058823529412,33.56944444444444,33.56789473684211
33.59071428571429,33.58133333333333,33.574375,33.57294117647059,33.57055555555556,33.56947368421053
33.60142857142857,33.59133333333334,33.5825,33.57588235294118,33.57444444444445,33.5721052631579
33.612857142857145,33.604,33.59437500000001,33.58588235294118,33.57944444444445,33.57789473684211
33.61642857142858,33.608,33.6,33.59117647058824,33.583333333333336,33.57736842105263
33.60642857142857,33.606,33.59875,33.591764705882355,33.58388888888889,33.57684210526316
33.597142857142856,33.596666666666664,33.596875000000004,33.59058823529412,33.58444444444445,33.57736842105264
33.589285714285715,33.58866666666667,33.58875,33.589411764705886,33.58388888888889,33.57842105263158
33.576428571428565,33.583999999999996,33.58375,33.58411764705882,33.58500000000001,33.580000000000005
33.55642857142856,33.568,33.575625,33.57588235294118,33.57666666666667,33.57789473684211
33.54142857142857,33.54999999999999,33.561249999999994,33.568823529411766,33.56944444444445,33.57052631578947
33.53357142857143,33.54133333333333,33.54937499999999,33.559999999999995,33.56722222222223,33.567894736842106
